movie_id,title,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western
1394,Swept from the Sea (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
744,Michael Collins (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1606,Deceiver (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Star Wars (1977),1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
189,"Grand Day Out, A (1992)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Casablanca (1942),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
893,For Richer or Poorer (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
614,Giant (1956),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1628,Lamerica (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1347,"Ballad of Narayama, The (Narayama Bushiko) (1958)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1209,Mixed Nuts (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
889,"Tango Lesson, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1497,"Line King: Al Hirschfeld, The (1996)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
989,Cats Don't Dance (1997),0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
272,Good Will Hunting (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,"Lion King, The (1994)",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
428,Harold and Maude (1971),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,Some Kind of Wonderful (1987),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
630,"Great Race, The (1965)",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1572,Wend Kuuni (God's Gift) (1982),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
678,Volcano (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1622,"Paris, France (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,Grosse Fatigue (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,She's the One (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
904,Ma vie en rose (My Life in Pink) (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1266,Bread and Chocolate (Pane e cioccolata) (1973),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1168,Little Buddha (1993),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1651,"Spanish Prisoner, The (1997)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
495,Around the World in 80 Days (1956),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
702,Barcelona (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1306,Delta of Venus (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
480,North by Northwest (1959),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1122,They Made Me a Criminal (1939),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1103,Trust (1990),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1118,Up in Smoke (1978),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,Robocop 3 (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,"Return of the Pink Panther, The (1974)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
